Time	Iteration	AverageFitness	stdFitness	AverageReturn	stdReturn	dontcare1	dontcare2	dontcare3	dontcare4
5.452340841293335	0	15.549999999999999	-1	15.6	-1	-1	-1	-1	-1
7.658860921859741	1	31.469890594482422	-1	30.8	-1	-1	-1	-1	-1
9.74404788017273	2	49.076690673828125	-1	47.766666666666666	-1	-1	-1	-1	-1
11.806260824203491	3	49.076690673828125	-1	47.766666666666666	-1	-1	-1	-1	-1
13.889955043792725	4	49.076690673828125	-1	47.766666666666666	-1	-1	-1	-1	-1
16.276213884353638	5	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
19.8659508228302	6	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
22.585569858551025	7	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
25.146848917007446	8	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
27.72293186187744	9	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
30.65419888496399	10	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
33.53657793998718	11	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
36.84992575645447	12	50.914207458496094	-1	49.3	-1	-1	-1	-1	-1
40.282562017440796	13	63.98259735107422	-1	62.56666666666667	-1	-1	-1	-1	-1
44.682053089141846	14	111.78785705566406	-1	110.2	-1	-1	-1	-1	-1
49.94965600967407	15	142.0598907470703	-1	140.56666666666666	-1	-1	-1	-1	-1
53.77480602264404	16	142.0598907470703	-1	140.56666666666666	-1	-1	-1	-1	-1
58.35050177574158	17	142.0598907470703	-1	140.56666666666666	-1	-1	-1	-1	-1
62.03354096412659	18	142.0598907470703	-1	140.56666666666666	-1	-1	-1	-1	-1
66.99601292610168	19	144.99600219726562	-1	143.8	-1	-1	-1	-1	-1
71.68610405921936	20	144.99600219726562	-1	143.8	-1	-1	-1	-1	-1
78.50648999214172	21	238.552978515625	-1	237.46666666666667	-1	-1	-1	-1	-1
86.128986120224	22	238.552978515625	-1	237.46666666666667	-1	-1	-1	-1	-1
94.57224082946777	23	241.93399047851562	-1	240.93333333333334	-1	-1	-1	-1	-1
101.07174897193909	24	241.93399047851562	-1	240.93333333333334	-1	-1	-1	-1	-1
106.33140397071838	25	241.93399047851562	-1	240.93333333333334	-1	-1	-1	-1	-1
113.27184391021729	26	241.93399047851562	-1	240.93333333333334	-1	-1	-1	-1	-1
118.18230700492859	27	241.93399047851562	-1	240.93333333333334	-1	-1	-1	-1	-1
125.98553800582886	28	241.93399047851562	-1	240.93333333333334	-1	-1	-1	-1	-1
136.73906779289246	29	426.4689025878906	-1	425.2	-1	-1	-1	-1	-1
142.24440479278564	30	426.4689025878906	-1	425.2	-1	-1	-1	-1	-1
155.39348077774048	31	746.7440795898438	-1	745.5666666666667	-1	-1	-1	-1	-1
165.49828386306763	32	746.7440795898438	-1	745.5666666666667	-1	-1	-1	-1	-1
180.06476283073425	33	854.95458984375	-1	853.5666666666667	-1	-1	-1	-1	-1
194.62028884887695	34	855.6430053710938	-1	854.6666666666666	-1	-1	-1	-1	-1
212.54221391677856	35	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
227.84434390068054	36	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
239.90224981307983	37	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
252.39441299438477	38	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
265.77091884613037	39	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
280.3230998516083	40	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
295.58873891830444	41	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
311.6289269924164	42	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
324.05722999572754	43	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
335.5022518634796	44	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
343.8397717475891	45	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
375.5133469104767	46	968.2935180664062	-1	966.7	-1	-1	-1	-1	-1
413.34304690361023	47	1001.2574462890625	-1	1000.0	-1	-1	-1	-1	-1
434.0772068500519	48	1001.2574462890625	-1	1000.0	-1	-1	-1	-1	-1
452.8788208961487	49	1001.2574462890625	-1	1000.0	-1	-1	-1	-1	-1
