Time	Iteration	AverageFitness	stdFitness	AverageReturn	stdReturn	dontcare1	dontcare2	dontcare3	dontcare4
5.790269374847412	0	40.02455520629883	-1	24.6	-1	-1	-1	-1	-1
8.029786348342896	1	40.94475555419922	-1	26.633333333333333	-1	-1	-1	-1	-1
10.66304326057434	2	42.30122756958008	-1	27.266666666666666	-1	-1	-1	-1	-1
13.49260425567627	3	50.42835235595703	-1	35.13333333333333	-1	-1	-1	-1	-1
16.389094352722168	4	50.42835235595703	-1	35.13333333333333	-1	-1	-1	-1	-1
19.789535999298096	5	50.42835235595703	-1	35.13333333333333	-1	-1	-1	-1	-1
24.29146122932434	6	50.42835235595703	-1	35.13333333333333	-1	-1	-1	-1	-1
28.4087553024292	7	54.30592346191406	-1	40.3	-1	-1	-1	-1	-1
35.560561180114746	8	128.6010284423828	-1	113.96666666666667	-1	-1	-1	-1	-1
46.44484829902649	9	128.6010284423828	-1	113.96666666666667	-1	-1	-1	-1	-1
52.11962032318115	10	128.6010284423828	-1	113.96666666666667	-1	-1	-1	-1	-1
57.973342418670654	11	128.6010284423828	-1	113.96666666666667	-1	-1	-1	-1	-1
64.78480124473572	12	128.6010284423828	-1	113.96666666666667	-1	-1	-1	-1	-1
71.71904921531677	13	128.6010284423828	-1	113.96666666666667	-1	-1	-1	-1	-1
80.59000825881958	14	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
89.18726420402527	15	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
96.23533725738525	16	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
104.02353429794312	17	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
111.22094631195068	18	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
119.11495327949524	19	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
125.49143719673157	20	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
133.22925519943237	21	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
140.02256226539612	22	310.55328369140625	-1	295.56666666666666	-1	-1	-1	-1	-1
152.39842009544373	23	473.707763671875	-1	459.4	-1	-1	-1	-1	-1
160.23095607757568	24	473.707763671875	-1	459.4	-1	-1	-1	-1	-1
168.7341902256012	25	473.707763671875	-1	459.4	-1	-1	-1	-1	-1
177.48422408103943	26	473.707763671875	-1	459.4	-1	-1	-1	-1	-1
188.42841219902039	27	473.707763671875	-1	459.4	-1	-1	-1	-1	-1
197.34516310691833	28	473.707763671875	-1	459.4	-1	-1	-1	-1	-1
206.2714512348175	29	473.707763671875	-1	459.4	-1	-1	-1	-1	-1
222.071711063385	30	862.0650634765625	-1	846.6333333333333	-1	-1	-1	-1	-1
241.5219430923462	31	915.3929443359375	-1	900.1	-1	-1	-1	-1	-1
262.951256275177	32	1007.9170532226562	-1	992.7	-1	-1	-1	-1	-1
272.54772305488586	33	1007.9170532226562	-1	992.7	-1	-1	-1	-1	-1
293.88370633125305	34	1007.9170532226562	-1	992.7	-1	-1	-1	-1	-1
310.10391330718994	35	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
327.205509185791	36	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
337.11932015419006	37	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
348.60864210128784	38	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
358.58281230926514	39	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
366.16269731521606	40	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
393.3916742801666	41	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
409.4290020465851	42	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
419.12798619270325	43	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
439.008816242218	44	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
458.6625511646271	45	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
474.6444170475006	46	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
496.27083706855774	47	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
528.9872341156006	48	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
548.3177921772003	49	1015.5616455078125	-1	1000.0	-1	-1	-1	-1	-1
