Time	Iteration	AverageFitness	stdFitness	AverageReturn	stdReturn	dontcare1	dontcare2	dontcare3	dontcare4
5.108946084976196	0	14.6	-1	15.6	-1	-1	-1	-1	-1
7.432590007781982	1	59.39093780517578	-1	32.333333333333336	-1	-1	-1	-1	-1
9.071660041809082	2	59.39093780517578	-1	32.333333333333336	-1	-1	-1	-1	-1
10.95789623260498	3	61.50555419921875	-1	28.9	-1	-1	-1	-1	-1
12.884903192520142	4	61.50555419921875	-1	28.9	-1	-1	-1	-1	-1
14.86608624458313	5	63.61288833618164	-1	48.36666666666667	-1	-1	-1	-1	-1
17.689566135406494	6	71.58956909179688	-1	37.46666666666667	-1	-1	-1	-1	-1
20.586244106292725	7	77.89035034179688	-1	43.4	-1	-1	-1	-1	-1
23.283151149749756	8	85.86714172363281	-1	49.9	-1	-1	-1	-1	-1
26.722634077072144	9	98.37104797363281	-1	61.1	-1	-1	-1	-1	-1
30.765623092651367	10	98.37104797363281	-1	61.1	-1	-1	-1	-1	-1
35.670207023620605	11	114.93621063232422	-1	76.8	-1	-1	-1	-1	-1
44.38364791870117	12	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
48.45099210739136	13	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
52.454798221588135	14	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
55.53683304786682	15	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
59.64323711395264	16	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
65.75329613685608	17	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
71.2560613155365	18	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
75.75880312919617	19	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
80.85079717636108	20	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
85.52278304100037	21	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
90.1423990726471	22	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
95.77547001838684	23	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
100.01293611526489	24	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
105.22292709350586	25	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
111.26302099227905	26	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
118.97321105003357	27	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
125.80327320098877	28	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
133.8148910999298	29	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
140.6890571117401	30	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
147.9867823123932	31	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
156.2170011997223	32	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
164.4829330444336	33	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
172.39009308815002	34	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
178.1801950931549	35	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
186.9242250919342	36	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
196.4202651977539	37	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
207.08855605125427	38	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
219.4498941898346	39	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
235.61541223526	40	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
246.31512904167175	41	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
260.311546087265	42	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
269.4492390155792	43	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
280.0228910446167	44	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
290.1682679653168	45	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
298.1720931529999	46	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
312.67368507385254	47	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
327.259614944458	48	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
340.3898780345917	49	650.7142333984375	-1	608.4666666666667	-1	-1	-1	-1	-1
