Time	Iteration	AverageFitness	stdFitness	AverageReturn	stdReturn	dontcare1	dontcare2	dontcare3	dontcare4
5.439292907714844	0	29.61017608642578	-1	16.666666666666668	-1	-1	-1	-1	-1
7.396126985549927	1	58.7940559387207	-1	44.46666666666667	-1	-1	-1	-1	-1
9.747065782546997	2	58.7940559387207	-1	44.46666666666667	-1	-1	-1	-1	-1
12.217264890670776	3	58.7940559387207	-1	44.46666666666667	-1	-1	-1	-1	-1
15.324334859848022	4	58.7940559387207	-1	44.46666666666667	-1	-1	-1	-1	-1
18.179574012756348	5	58.7940559387207	-1	44.46666666666667	-1	-1	-1	-1	-1
22.243832111358643	6	77.39674377441406	-1	41.833333333333336	-1	-1	-1	-1	-1
25.886895895004272	7	77.39674377441406	-1	41.833333333333336	-1	-1	-1	-1	-1
30.146990060806274	8	77.39674377441406	-1	41.833333333333336	-1	-1	-1	-1	-1
33.81695604324341	9	85.88151550292969	-1	63.666666666666664	-1	-1	-1	-1	-1
38.15704798698425	10	85.88151550292969	-1	63.666666666666664	-1	-1	-1	-1	-1
42.78558588027954	11	89.86151123046875	-1	66.36666666666666	-1	-1	-1	-1	-1
47.86369490623474	12	91.48750305175781	-1	73.36666666666666	-1	-1	-1	-1	-1
52.66848301887512	13	91.48750305175781	-1	73.36666666666666	-1	-1	-1	-1	-1
59.31062984466553	14	96.56106567382812	-1	83.4	-1	-1	-1	-1	-1
64.65829396247864	15	96.56106567382812	-1	83.4	-1	-1	-1	-1	-1
69.93616199493408	16	105.09716796875	-1	91.4	-1	-1	-1	-1	-1
75.78165411949158	17	106.13648223876953	-1	86.46666666666667	-1	-1	-1	-1	-1
81.36250305175781	18	106.13648223876953	-1	86.46666666666667	-1	-1	-1	-1	-1
88.1517231464386	19	107.92452239990234	-1	86.53333333333333	-1	-1	-1	-1	-1
94.9997730255127	20	107.92452239990234	-1	86.53333333333333	-1	-1	-1	-1	-1
102.17128491401672	21	119.43518829345703	-1	94.73333333333333	-1	-1	-1	-1	-1
109.58665084838867	22	124.74827575683594	-1	110.0	-1	-1	-1	-1	-1
117.48454403877258	23	124.74827575683594	-1	110.0	-1	-1	-1	-1	-1
123.73701620101929	24	151.4475555419922	-1	131.26666666666668	-1	-1	-1	-1	-1
132.22862219810486	25	151.4475555419922	-1	131.26666666666668	-1	-1	-1	-1	-1
139.6048460006714	26	151.4475555419922	-1	131.26666666666668	-1	-1	-1	-1	-1
147.1366469860077	27	151.4475555419922	-1	131.26666666666668	-1	-1	-1	-1	-1
156.76888990402222	28	151.4475555419922	-1	131.26666666666668	-1	-1	-1	-1	-1
165.05200695991516	29	151.4475555419922	-1	131.26666666666668	-1	-1	-1	-1	-1
173.03541088104248	30	151.4475555419922	-1	131.26666666666668	-1	-1	-1	-1	-1
188.07757210731506	31	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
195.65183210372925	32	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
204.29899096488953	33	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
211.60153603553772	34	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
225.23284697532654	35	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
233.16345596313477	36	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
240.47808599472046	37	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
250.28776812553406	38	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
259.79072403907776	39	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
271.0690019130707	40	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
280.27821707725525	41	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
289.60087299346924	42	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
299.55064392089844	43	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
308.1535449028015	44	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
319.4392600059509	45	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
327.5991518497467	46	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
335.28022718429565	47	828.5426635742188	-1	803.8333333333334	-1	-1	-1	-1	-1
351.90574502944946	48	846.6031494140625	-1	826.7666666666667	-1	-1	-1	-1	-1
360.10491013526917	49	846.6031494140625	-1	826.7666666666667	-1	-1	-1	-1	-1
